districtid,wave1_weekid,wave2_weekid,wave1_monthid,wave2_monthid
GJ_Ahmedabad,0,104,0,11
GJ_Amreli,25,104,3,11
GJ_Anand,36,109,3,11
GJ_Aravalli,36,108,3,11
GJ_Banaskantha,26,104,3,11
GJ_Bharuch,26,102,3,11
GJ_Bhavnagar,36,106,3,11
GJ_Botad,28,102,2,11
GJ_Chhota Udaipur,36,107,3,11
GJ_Dahod,26,105,2,11
GJ_Dang,36,104,3,11
GJ_Devbhumi Dwarka,34,107,3,11
GJ_Gandhinagar,36,105,3,11
GJ_Gir Somnath,30,108,2,11
GJ_Jamnagar,37,106,3,11
GJ_Junagadh,37,105,3,11
GJ_Kheda,22,106,2,11
GJ_Kutch,33,108,3,11
GJ_Mahisagar,39,105,3,11
GJ_Mehsana,28,106,2,11
GJ_Morbi,32,106,3,11
GJ_Narmada,25,106,2,11
GJ_Navsari,24,106,2,11
GJ_Other State,29,99,0,11
GJ_Panchmahal,32,108,3,11
GJ_Patan,39,105,3,11
GJ_Porbandar,33,111,3,12
GJ_Rajkot,38,102,3,11
GJ_Sabarkantha,38,109,2,11
GJ_Surat,26,103,3,11
GJ_Surendranagar,26,105,2,11
GJ_Tapi,38,104,3,11
GJ_Vadodara,36,108,3,11
GJ_Valsad,27,105,2,11
HR_Ambala,39,107,3,11
HR_Bhiwani,37,107,3,11
HR_Charkhi Dadri,32,108,3,11
HR_Faridabad,39,107,3,11
HR_Fatehabad,39,107,3,11
HR_Foreign Evacuees,-1,109,0,13
HR_Gurugram,39,106,3,11
HR_Hisar,39,107,3,11
HR_Italians,-1,109,0,13
HR_Jhajjar,38,109,3,11
HR_Jind,39,105,3,11
HR_Kaithal,37,105,3,11
HR_Karnal,39,105,3,11
HR_Kurukshetra,39,107,3,11
HR_Mahendragarh,35,104,3,11
HR_Nuh,38,107,3,11
HR_Palwal,39,109,3,11
HR_Panchkula,39,107,3,11
HR_Panipat,38,106,3,11
HR_Rewari,35,107,3,11
HR_Rohtak,39,109,3,11
HR_Sirsa,39,108,3,11
HR_Sonipat,39,107,3,11
HR_Yamunanagar,38,107,3,11
HP_Bilaspur,38,104,3,11
HP_Chamba,38,109,3,11
HP_Hamirpur,37,108,3,11
HP_Kangra,39,108,3,11
HP_Kinnaur,39,101,3,11
HP_Kullu,38,102,3,11
HP_Lahaul and Spiti,39,115,3,12
HP_Mandi,37,105,3,11
HP_Shimla,39,105,3,11
HP_Sirmaur,35,108,3,11
HP_Solan,39,108,3,11
HP_Una,39,109,3,11
JK_Anantnag,38,107,3,11
JK_Bandipora,39,110,3,12
JK_Baramulla,39,107,3,11
JK_Budgam,39,107,3,11
JK_Doda,34,102,3,11
JK_Ganderbal,38,113,3,12
JK_Jammu,38,108,3,11
JK_Kathua,39,108,3,11
JK_Kishtwar,39,109,3,12
JK_Kulgam,25,108,2,11
JK_Kupwara,39,112,3,12
JK_Pulwama,27,109,2,12
JK_Punch,34,104,3,11
JK_Rajouri,39,108,3,11
JK_Ramban,25,111,2,12
JK_Reasi,39,101,3,11
JK_Samba,39,109,3,11
JK_Shopiyan,24,107,2,11
JK_Srinagar,39,106,3,11
JK_Udhampur,39,110,3,11
JH_Bokaro,38,107,3,11
JH_Chatra,29,99,2,11
JH_Deoghar,28,105,3,11
JH_Dhanbad,34,103,3,11
JH_Dumka,32,101,3,11
JH_East Singhbhum,33,101,3,11
JH_Garhwa,35,105,3,11
JH_Giridih,36,107,3,11
JH_Godda,26,104,2,11
JH_Gumla,33,99,2,11
JH_Hazaribagh,38,106,3,11
JH_Jamtara,35,103,3,11
JH_Khunti,20,99,2,11
JH_Koderma,36,103,3,11
JH_Latehar,29,101,3,11
JH_Lohardaga,38,99,3,11
JH_Pakur,27,99,2,11
JH_Palamu,33,108,3,11
JH_Ramgarh,32,100,2,11
JH_Ranchi,37,104,3,11
JH_Sahibganj,25,99,2,11
JH_Saraikela-Kharsawan,31,99,2,11
JH_Simdega,39,106,3,11
JH_West Singhbhum,31,100,2,11
KA_Bagalkote,39,108,3,11
KA_Ballari,31,110,3,11
KA_Belagavi,37,110,3,12
KA_Bengaluru Rural,25,107,3,11
KA_Bengaluru Urban,39,106,3,11
KA_Bidar,31,106,2,11
KA_Chamarajanagara,34,99,3,11
KA_Chikkaballapura,38,107,3,11
KA_Chikkamagaluru,38,103,3,11
KA_Chitradurga,37,114,3,12
KA_Dakshina Kannada,37,107,3,11
KA_Davanagere,35,113,3,12
KA_Dharwad,36,110,3,11
KA_Gadag,37,110,3,12
KA_Hassan,39,102,3,12
KA_Haveri,37,104,3,12
KA_Kalaburagi,27,107,3,11
KA_Kodagu,36,107,3,11
KA_Kolar,39,102,3,11
KA_Koppal,29,103,2,11
KA_Mandya,38,107,3,11
KA_Mysuru,35,106,3,12
KA_Other State,-1,99,0,11
KA_Raichur,23,100,2,11
KA_Ramanagara,37,101,2,11
KA_Shivamogga,29,106,3,12
KA_Tumakuru,37,108,3,11
KA_Udupi,32,107,3,12
KA_Uttara Kannada,38,109,3,12
KA_Vijayapura,31,108,2,11
KA_Yadgir,29,103,3,11
KL_Alappuzha,39,106,3,11
KL_Ernakulam,39,107,3,11
KL_Idukki,39,105,3,11
KL_Kannur,39,108,3,11
KL_Kasaragod,38,107,3,11
KL_Kollam,39,109,3,12
KL_Kottayam,39,105,3,11
KL_Kozhikode,39,106,3,11
KL_Malappuram,39,109,3,11
KL_Palakkad,39,109,3,12
KL_Pathanamthitta,38,108,3,11
KL_Thiruvananthapuram,38,108,3,11
KL_Thrissur,38,105,3,11
KL_Wayanad,39,107,3,11
LA_Kargil,14,109,3,11
LA_Leh,37,102,3,11
LD_Lakshadweep,34,109,3,13
MP_Agar Malwa,39,101,3,11
MP_Alirajpur,36,103,3,11
MP_Anuppur,39,104,3,11
MP_Ashoknagar,35,103,3,11
MP_Balaghat,38,100,3,11
MP_Barwani,27,103,2,11
